Basecaller	Read count	Total bases
Nanonet v2.0.0	55638	355384802
Albacore v0.8.4	55716	1114736200
Albacore v0.9.1	55716	1268934684
Albacore v1.0.4	55716	1150695140
Albacore v1.1.2	55716	1150695047
Albacore v1.2.6	55716	1164734914
Albacore v2.0.2	55716	1158819551
Albacore v2.1.10	55716	1175106958
Guppy v0.3.0	55716	1174716030
Scrappie events v1.0.0	55716	1081465849
Scrappie events v1.1.0	55716	1045501820
Scrappie events v1.1.1	55716	1047218897
Scrappie events v1.3.0	55716	1047218897
Scrappie raw v1.0.0	55716	1110523455
Scrappie raw v1.1.0 raw_r94	55716	1093037223
Scrappie raw v1.1.0 rgr_r94	55716	1087841071
Scrappie raw v1.1.0 rgrgr_r94	55716	1119626849
Scrappie raw v1.1.1 raw_r94	55716	1093037223
Scrappie raw v1.1.1 rgr_r94	55716	1087841071
Scrappie raw v1.1.1 rgrgr_r94	55716	1158908640
Scrappie raw v1.3.0 raw_r94	55716	1093037223
Scrappie raw v1.3.0 rgr_r94	55716	1087841071
Scrappie raw v1.3.0 rgrgr_r94	55716	1158908640
Scrappie raw v1.3.0 rnnrf_r94	55716	1134244560
DeepNano e8a621e	55708	1142759016
Chiron v0.2	55716	1142992582
Chiron v0.3	55716	1184211547
